"Members – Detailed Contract Expenditures Report – Aboultaif, Ziad – Q2 2026"
Supplier,Description,Date,Total
Seniors of Evergreen and Beyond Society,Advertising,2025-01-01,200
Royal Bank of Canada,Banking Fees and Cheque Orders,2025-04-02,4
Royal Bank of Canada,Banking Fees and Cheque Orders,2025-05-02,4
Slovenian Canadian Association of Edmonton,Equipment Rental,2025-05-15,80
Slovenian Canadian Association of Edmonton,Public Meeting Room Rentals,2025-05-15,750
Royal Bank of Canada,Banking Fees and Cheque Orders,2025-06-02,4
Wilsons Security,Protection and Alarm Monitoring (Member's Office Budget),2025-06-04,41.95
4Imprint,Promotional Items,2025-06-09,1359.8
Staples Canada,"Office Supplies, Stationery and Accessories",2025-06-22,8.99
Mailchimp c/o The Rocket Science Group,Professional Communication Services,2025-06-26,152.09
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2025-07-01,64.95
ROGERS WIRELESS – ROGERS SANS-FIL,Voice and data plan for mobile devices,2025-07-01,29.75
Telus Communications Inc,Constituency Office Internet and Cable,2025-07-01,140
Royal Bank of Canada,Banking Fees and Cheque Orders,2025-07-02,4
4Imprint,Promotional Items,2025-07-03,910.9
Sooters Photography (1996 Custom Photo Lab),Photography and Video Services,2025-07-03,39.95
Wilsons Security,Protection and Alarm Monitoring (Member's Office Budget),2025-07-05,41.95
EPCOR,Public Utilities,2025-07-09,259.49
Grand & Toy,"Office Supplies, Stationery and Accessories",2025-07-09,78.71
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2025-07-10,29.37
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2025-07-10,44.37
River city events,Equipment Rental,2025-07-14,265.62
Direct Energy,Public Utilities,2025-07-16,59.02
House of Commons / Chambre des communes,"Printed Matter such as: Printed Envelopes, Maps, Printed Forms, Transparencies, Labels",2025-07-16,133.6
"Mailchimp c/o The Rocket Science Group, LLC","Printed Matter, Books, Newspapers and Subscriptions",2025-07-26,151.76
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2025-08-01,64.95
Bilbo Holdings Ltd.,Office Rental,2025-08-01,1604.42
Bilbo Holdings Ltd.,Office Rental Related Fees,2025-08-01,1007.44
ROGERS WIRELESS – ROGERS SANS-FIL,Voice and data plan for mobile devices,2025-08-01,29.75
Royal Bank of Canada,Banking Fees and Cheque Orders,2025-08-01,4
TELUS Communications Inc.,Constituency Office Internet and Cable,2025-08-01,140
Wilsons Security,Protection and Alarm Monitoring (Member's Office Budget),2025-08-05,41.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2025-08-06,183.38
Grand & Toy,Bulk Paper Purchases,2025-08-06,75
EPCOR,Public Utilities,2025-08-08,290.26
Direct Energy Regulated Services,Public Utilities,2025-08-16,51.54
Michaels,"Framing, Outside Supplier",2025-08-20,67.99
Michaels,"Office Supplies, Stationery and Accessories",2025-08-21,62.42
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2025-08-21,8.99
New Pathway Publishers Ltd.,Advertising,2025-08-31,467
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2025-09-01,0.4
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2025-09-01,64.95
Bilbo Holdings Ltd.,Office Rental Related Fees,2025-09-01,1007.44
Bilbo Holdings Ltd.,Office Rental,2025-09-01,1604.42
ROGERS WIRELESS – ROGERS SANS-FIL,Voice and data plan for mobile devices,2025-09-01,29.75
TELUS Communications Inc,Constituency Office Internet and Cable,2025-09-01,140
Alberta Jewish News,Advertising,2025-09-08,198.83
Canada Post,Courier Services,2025-09-08,28.79
Canada Post,Courier Services,2025-09-08,9.28
Canada Post,Courier Services,2025-09-08,14.99
Canada Post,Courier Services,2025-09-08,9.3
EPCOR,Public Utilities,2025-09-09,273.04
Direct Energy,Public Utilities,2025-09-16,50.07
Bilbo Holdings Ltd.,Office Rental,2025-10-01,1604.42
Bilbo Holdings Ltd.,Office Rental Related Fees,2025-10-01,1007.44
