Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Block,  Kelly",Carlton Trail—Eagle Creek,Conservative,86859.81,20406.36,472.89,17820.61
"Carney,  Right Hon. Mark",Nepean,Liberal,0,0,0,17280.02
"Champagne, Hon. François-Philippe",Saint-Maurice—Champlain,Liberal,83295.01,17555.74,916.62,34305.01
"Dance,  Leila",Elmwood—Transcona,New Democratic Party,3506.99,940.16,0,1309.92
"Earle,  Philip",Labrador,Liberal,41015.07,52226.83,1647.03,19878
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,2450.37,2007.6,0,519.03
"Lefebvre,  Eric",Richmond—Arthabaska,Conservative,70685.15,14537.4,537.91,26706.99
"McPherson,  Heather",Edmonton Strathcona,New Democratic Party,96182.42,46880,3879.79,13348.92
"Nater,  John",Perth—Wellington,Conservative,94699.37,14552.12,317.48,28734.14
"Poilievre, Hon. Pierre",Carleton,Conservative,3200.7,0,0,996.86
"Sauvé,  Louis-Philippe",LaSalle—Émard—Verdun,Bloc Québécois,5752.29,0,0,2276.35
"Singh,  Jagmeet",Burnaby South,New Democratic Party,5482.66,437.06,0,1167.41
Vacant,Honoré-Mercier,Independent,4944.8,0,0,85.24
Vacant,Halifax,Liberal,0,0,0,11.7
Vacant,Battle River—Crowfoot,Conservative,15706.21,0,0,6006.27
"Aboultaif,  Ziad",Edmonton Manning,Conservative,84541.33,11179.26,2111.17,15000.48
"Acan,  Sima",Oakville West,Liberal,93295.62,10464.82,83.35,14961.94
"Aitchison,  Scott",Parry Sound—Muskoka,Conservative,100336.33,46397.96,0,28793.29
"Al Soud,  Fares",Mississauga Centre,Liberal,77657.19,23518.51,0,35051.09
"Albas,  Dan",Okanagan Lake West—South Kelowna,Conservative,114119.33,13268.23,1178.38,17227.41
"Alghabra, Hon. Omar",Mississauga Centre,Liberal,7254.29,0,0,6.71
"Ali, Hon. Shafqat",Brampton—Chinguacousy Park,Liberal,111420.22,26000.56,1478.65,23494.86
"Allison,  Dean",Niagara West,Conservative,103415.27,37241.72,3634.3,31878.54
"Alty, Hon. Rebecca",Northwest Territories,Liberal,75935.58,42471.08,153.71,27416.95
"Anand, Hon. Anita",Oakville East,Liberal,102305.7,10814.38,0,27107.18
"Anandasangaree, Hon. Gary",Scarborough—Guildwood—Rouge Park,Liberal,102479.36,20567.2,253.76,33987.69
"Anderson,  Scott",Vernon—Lake Country—Monashee,Conservative,94736.95,13827.26,17.89,26636.03
"Angus,  Charlie",Timmins—James Bay,New Democratic Party,9348.45,0,0,638.18
"Anstey,  Carol",Long Range Mountains,Conservative,100051.62,14025.35,0,33112.16
"Arnold,  Mel",Kamloops—Shuswap—Central Rockies,Conservative,124885.07,40107.91,0,25204.35
"Arseneault,  René",Madawaska—Restigouche,Liberal,3265.87,0,0,443.94
"Arya,  Chandra",Nepean,Liberal,3501.87,0,0,6.52
"Ashton,  Niki",Churchill—Keewatinook Aski,New Democratic Party,10249.78,31995.25,0,5150.66
"Atwin,  Jenica",Fredericton,Liberal,7125.36,0,0,925.07
"Au,  Chak",Richmond Centre—Marpole,Conservative,51729.55,0,0,23091.26
