"Members – Detailed Hospitality Expenditures Report – Aboultaif, Ziad – Q2 2026"
Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2025-04-01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0424296,Costco Wholesale,43.99
2025-05-14,Edmonton,3,To meet constituents,Hosting a meeting,M0420549,Earls Restaurant,202.5
2025-05-16,Edmonton,2,To meet constituents,Hosting a meeting,M0420549,The Fort Pub,111.96
2025-05-31,Edmonton,30,To meet constituents,Community activity or event,M0420549,Real Canadian Superstore,33.26
2025-06-18,Edmonton,1,To meet constituents,Hosting a meeting,M0420549,OCCO Kitchen & Bar,115.2
2025-06-27,Edmonton,1,To meet constituents,Hosting a meeting,M0420549,Franco's Pizza & Steakhouse,51.85
2025-07-13,Edmonton,12,To meet constituents,Hosting a town hall or community event,M0420545,Tim Hortons,19.99
2025-07-13,Edmonton,600,To meet constituents,Hosting a town hall or community event,M0420545,Costco Wholesale,1112.74
2025-07-13,Edmonton,600,To meet constituents,Hosting a town hall or community event,M0420545,Co-Op (North Central),42.9
2025-08-21,Edmonton,3,To plan Member's priorities and activities,Hosting a staff event,M0422853,A&W,56.66
2025-08-22,Edmonton,1,To meet constituents,Hosting a meeting,M0422853,Don'ya Ukraine's Kitchen,71.42
2025-08-24,Edmonton,2,To celebrate a significant event,Community activity or event,M0422853,Tim Hortons,7.58
2025-08-24,Edmonton,2,To celebrate a significant event,Community activity or event,M0422853,7 Eleven,3.59
2025-08-28,Edmonton,1,To meet constituents,Hosting a meeting,M0422853,The Fort Pub,64.77
2025-09-04,Edmonton,1,To meet constituents,Hosting a meeting,M0424296,Taste of Persia,123.76
2025-09-12,Edmonton,1,To meet constituents,Hosting a meeting,M0424296,Browns Social House,49
